--------------------------------------------------------------------------------------------------
|isbn            |price  |count|hash                                                             |
--------------------------------------------------------------------------------------------------
|598033660-5     |88.15  |98   |a36c6a3969b0157de9f3340882b6bbe45127ec189bd8e9c83c7aa1076ced1f26 |
|458287115-1     |15.61  |314  |a4aa1967ad19b642a43ebfe84b040a8c3edc42ddacb91aaa76eade935aad7113 |
|190647079-0     |97.48  |233  |a628413e29727ae03dddf938ae5263e3d90cabc5800901e320f6aefb405602ef |
|825718485-3     |29.85  |288  |b224a466aaee14c50e70e68b5603bd6d42be29fd8024a9428f6253d459f513e4 |
|818952578-6     |30.62  |104  |b68e6445edfa727c64795ee0daa6139c77632b49851c29d7c2dc4422bf9608b7 |
|677078486-6     |22.14  |347  |bd4fb837f6a61af0df0b8ecf5dd4c3ffdf3645de5e2a1025cb3f396e94ebbaa3 |
|829936290-3     |32.61  |231  |c14a88012b58d5ae544e3803b63cc3638446664dedb975e866271acf03339670 |
|273675858-7     |37.41  |100  |c309279ab1f259758a023b6c2e834784058fe38a6a94597487d3f7fac81a2378 |
|512839610-X     |57.36  |283  |c45206e42adbe690707ed54060c8fc2781c87046cd22c6531022e2c91d4e802b |
|183505266-5     |16.01  |94   |ca793fd24b31a47213f59e8330037737cffdc21d60d87861e5beaf7e6a7e5a5e |
|904034996-7     |44.42  |31   |cdde7f5948848acd1a7353ff38a1170ffa955a9a06ce1b5fa6a76a0db62f2a57 |
|043748581-1     |97.35  |249  |cdf23cdfee596826c53bed0e52cc8043d5bb7504a8488866e3a679c160561df8 |
|531627721-X     |67.54  |386  |d39a3aeabc1e2078c2e9a445515908bd3de53c543f987a2a6f6839c78ad5172c |
|670290622-6     |90.96  |272  |deab2f5b245b4f72c8fe7287161910698942e78e4155eb2812e231d748ab8e88 |
|463649750-3     |57.78  |213  |e00df4ded4741e21c9dd727da215c9d4f0a8a9bbd60723661115222782bb7ab0 |
|765956481-1     |30.32  |264  |e7bcd69405c733b52609a02b441d3ce64d1bbfa2575eb70df676b071229fdd59 |
|721850598-8     |80.46  |161  |eb907cc52553e51c4af92dbc0cf134bf0386c0172330ffdc59145c29d5d53bd0 |
|493889233-2     |80.69  |405  |ed53ace2f061d7ec82fa977ed64eb7950b7023ff248c0544c816a130733c6e79 |
|634894340-2     |42.01  |302  |f14e5527d21d093c0de7d5d9d6eefc3eea41b41a45362cabc99fbe4ae69ba588 |
|853680889-6     |20.75  |274  |f881ae2f663f608304fcdda412f559174114fbfbd0641ded47c1e3768d808160 |
|051838620-1     |67.94  |147  |f889542b182ef2cba14d5d42a19e2b97cb3bae016fac477bc1d5c13de05c4f73 |
|349252827-9     |88.09  |82   |f92ac30d3560ca8b4063d13443b5f8b4728c40ae2fc91710ac0912d3fd20dc25 |
--------------------------------------------------------------------------------------------------
